LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 26.801297776370973, 0.0683706575927831, 31.764501068291526, 8.166666666666666, 7.783783783783784, 35.58856382978723,
1, 31.75361064285389, 0.0026242653423846187, 0.992300332589184, 9.333333333333334, 2.5945945945945947, 1.9561297969005333,
2, 31.76324431256182, 0.08102868447082097, 31.76324431256182, 9.333333333333334, 9.266968325791856, 32.94947878190922,
3, 31.069265037238342, 0.009907291147078553, 0.9709145324136982, 9.333333333333334, 5.1891891891891895, 46.332239540607056,
4, 31.06993304694454, 0.3170401331320872, 31.06993304694454, 8.166666666666666, 9.266968325791856, 32.204051343762536,
5, 31.000950544024953, 0.010631327347059311, 0.9687797045007798, 9.333333333333334, 5.212669683257919, 1.986436381521698,
6, 31.069331836916348, 0.31703399833588114, 31.069331836916348, 9.333333333333334, 9.881785283474064, 32.15312988105251,
7, 28.574935931913817, 0.03644762236213497, 0.8929667478723068, 9.333333333333334, 5.212669683257919, 32.0,
8, 28.57504894109272, 1.1663285282078661, 28.57504894109272, 8.166666666666666, 9.88476621417798, 29.737276835321136,
9, 28.094013239777052, 0.04155919118310215, 0.8779379137430329, 8.166666666666666, 6.9397590361445785, 32.0,
10, 28.574540406826717, 1.166307771707213, 28.574540406826717, 8.166666666666666, 1.2581060067957996, 29.590929195385353,
11, 21.628622060443508, 0.1103501125532832, 0.6758944393888596, 8.166666666666666, 6.9397590361445785, 32.0,
12, 21.628168862307714, 3.531129610172688, 21.628168862307714, 8.166666666666666, 3.5825725687421417, 22.642196401376275,
13, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 8.166666666666666, 8.332730560578662, 32.0,
14, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 8.166666666666666, 3.860565807107197, 22.379826053020377,
15, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 8.166666666666666, 8.332730560578662, 32.0,
16, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 8.166666666666666, 3.860565807107197, 22.379826053020377,
17, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 8.166666666666666, 8.332730560578662, 32.0,
18, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 8.166666666666666, 3.860565807107197, 22.379826053020377,
19, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 8.166666666666666, 8.332730560578662, 32.0,
20, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 8.166666666666666, 3.860565807107197, 22.379826053020377,
21, 19.361909486154474, 0.13445770476496163, 0.6050596714423273, 8.166666666666666, 8.332730560578662, 32.0,
22, 21.627877530677946, 3.5310820458249705, 21.627877530677946, 8.166666666666666, 3.860565807107197, 22.379826053020377,
23, 10.965567480938274, 0.22378709144771988, 0.34267398377932107, 8.166666666666666, 8.332730560578662, 31.92760180995475,
24, 10.965184729905074, 7.16093696646862, 10.965184729905074, 4.083333333333333, 6.999746331824675, 11.632766315057378,
25, 2.7962107676229646, 0.3106900852914405, 0.08738158648821764, 8.166666666666666, 9.262311557788944, 32.0,
26, 10.965109846958637, 7.160888063319925, 10.965109846958637, 8.166666666666666, 7.262310750349757, 11.35546676096181,
